Gene ID	ERR2619174	ERR2619175	ERR2619176	ERR2619177	ERR2619178	ERR2619179	ERR2619180	ERR2619181	ERR2619182	ERR2619183	ERR2619184	ERR2619185	ERR2619186	ERR2619187	ERR2619188	ERR2619189	ERR2619190	ERR2619191
ENSG00000011198	178	186	139	172	277	285	213	220	605	598	558	500	531	505	930	758	628	728
ENSG00000011201	8	11	7	7	3	5	4	5	17	18	23	31	4	40	9	103	182	131
ENSG00000011243	1912	2202	1585	1357	1387	1379	1113	1033	1907	1856	1690	1611	772	836	866	876	1115	686
ENSG00000011258	1964	2273	2383	2141	1352	1290	1146	1053	800	688	782	862	394	375	486	475	495	426
ENSG00000011260	2489	2790	2570	2460	3442	3194	2625	2497	1672	1656	1478	1555	725	972	1296	803	900	859
ENSG00000011275	3650	4033	3831	3586	2410	2340	1650	1600	1900	1748	1484	1504	1069	707	1067	1071	1264	1056
ENSG00000011295	1134	1143	1318	1149	1105	1059	867	784	1269	1278	1797	1668	1612	1639	2085	1667	1782	1792
ENSG00000011304	23653	26388	23594	22454	18748	16298	14532	13449	18100	18023	17674	17840	3968	3289	4824	4545	5385	4544
ENSG00000011332	50	53	15	22	142	132	118	98	50	69	19	29	0	14	8	7	2	2
ENSG00000011347	253	257	384	423	116	175	280	286	1331	1112	3739	3922	16571	13874	12862	10228	11247	9529
ENSG00000011376	1360	1498	1425	1542	3109	3149	2228	2164	2192	2182	2600	2376	1093	753	1081	1350	1095	1266
ENSG00000011405	5508	6041	6757	6212	3605	3482	2783	2570	2982	2735	2941	3224	2337	1903	2963	2398	1995	2130
ENSG00000011422	60	76	49	41	83	73	36	38	52	56	31	47	61	143	31	495	501	409
ENSG00000011426	10591	12113	8124	7662	4546	4141	3560	3080	7075	7378	4158	4443	13	82	14	14	32	59
ENSG00000011451	3635	4150	3801	3719	1990	1911	1231	1168	2980	3086	2371	2513	1113	843	1217	1298	1456	1250
ENSG00000011454	1946	2177	1916	1878	1979	1962	1474	1376	2517	2393	2015	2211	655	609	799	816	1030	923
ENSG00000011465	1	0	0	0	0	0	0	0	2	2	0	2	37	1732	35	1077	3534	74
ENSG00000011478	659	740	1123	1132	993	918	1109	1045	666	658	652	642	265	260	294	316	248	269
ENSG00000011485	3526	3973	3176	3179	2941	2730	2060	1974	4404	4303	3613	3495	1674	1352	2073	1866	1731	1570
ENSG00000011523	435	532	527	527	766	753	510	483	615	679	697	690	225	259	437	346	378	333
ENSG00000011566	2684	3197	3050	2956	4221	4498	4259	3755	2112	2020	1539	1678	1098	1237	1508	1331	1526	1284
ENSG00000011590	5	1	5	6	4	4	3	0	1	3	1	6	0	2	0	0	2	2
ENSG00000011600	1	0	1	0	0	0	0	0	1	0	12	8	119	410	59	977	1534	1009
ENSG00000011638	1	1	4	1	184	205	114	127	43	48	15	24	23	94	20	87	154	94
ENSG00000011677	0	1	2	3	2	2	4	3	0	1	0	1	0	0	0	1	0	0
ENSG00000012048	1738	2054	1607	1446	1890	1894	1191	1067	1033	1113	1000	1083	203	118	107	140	167	217
ENSG00000012061	1146	1287	1057	996	1126	1080	956	1000	1031	1038	876	869	550	492	582	551	612	489
ENSG00000012124	22	32	10	16	150	127	54	57	6	10	10	23	34	46	6	89	88	117
ENSG00000012171	419	510	219	203	9803	8266	6879	6603	397	506	69	99	59	36	49	48	87	30
ENSG00000012174	1187	1353	1330	1335	1341	1364	1294	1183	1495	1481	1859	1984	1078	677	1592	1318	961	1249
ENSG00000012211	141	150	143	153	241	206	155	165	344	309	262	250	181	109	193	95	143	126
ENSG00000012223	0	0	1	0	0	0	0	0	2	4	0	1	4	0	0	0	8	3
ENSG00000012232	2343	2566	2165	2067	1692	1679	1208	1180	2014	2053	1885	1880	2478	1675	2410	2011	1954	1906
ENSG00000012504	1389	1567	2138	2070	3645	3174	2844	2555	616	484	1696	1824	2902	3075	3827	3239	2947	2493
